"version","doi_eng","doi_fra","rebased"
"1986-07","doi:10.5683/SP3/HS8GMN","doi:10.5683/SP3/2HN5LI",""
"1986-08","doi:10.5683/SP3/0BSOHW","doi:10.5683/SP3/ZVGBPE",""
"1986-09","doi:10.5683/SP3/8AFARI","doi:10.5683/SP3/OSBO0E",""
"1986-10","doi:10.5683/SP3/HX1PGQ","doi:10.5683/SP3/W39UGI",""
"1986-11","doi:10.5683/SP3/OOCN0R","doi:10.5683/SP3/OIF1N3",""
"1986-12","doi:10.5683/SP3/2UYVMD","doi:10.5683/SP3/07THH4",""
"1987-01","doi:10.5683/SP3/OC7QFZ","doi:10.5683/SP3/1HIVFM","2001"
"1987-02","doi:10.5683/SP3/WKVAGS","doi:10.5683/SP3/56RA8B","2001"
"1987-03","doi:10.5683/SP3/XG5AZP","doi:10.5683/SP3/YHCTG2","2001"
"1987-04","doi:10.5683/SP3/TMAGTD","doi:10.5683/SP3/TCDYMG","2001"
"1987-05","doi:10.5683/SP3/Z94ZAI","doi:10.5683/SP3/9E97UQ","2001"
"1987-06","doi:10.5683/SP3/IWUQK5","doi:10.5683/SP3/WLPDSF","2001"
"1987-07","doi:10.5683/SP3/SLCHLB","doi:10.5683/SP3/DIVX56","2001"
"1987-08","doi:10.5683/SP3/IC5PMU","doi:10.5683/SP3/DEST5I","2001"
"1987-09","doi:10.5683/SP3/0GBLT5","doi:10.5683/SP3/ILNMLF","2001"
"1987-10","doi:10.5683/SP3/EL2UUL","doi:10.5683/SP3/EAKL6O","2001"
"1987-11","doi:10.5683/SP3/EFNTNA","doi:10.5683/SP3/KWTSAB","2001"
"1987-12","doi:10.5683/SP3/8SJH4D","doi:10.5683/SP3/FUPHAY","2001"
"1988-01","doi:10.5683/SP3/HPG5BZ","doi:10.5683/SP3/9TDBVN","2001"
"1988-02","doi:10.5683/SP3/UMKZLG","doi:10.5683/SP3/LF7OWB","2001"
"1988-03","doi:10.5683/SP3/PCHVHD","doi:10.5683/SP3/GZG4HS","2001"
"1988-04","doi:10.5683/SP3/WTL0TF","doi:10.5683/SP3/BNK4TP","2001"
"1988-05","doi:10.5683/SP3/1NEYFQ","doi:10.5683/SP3/BFD5SY","2001"
"1988-06","doi:10.5683/SP3/WTUQTZ","doi:10.5683/SP3/79DJJE","2001"
"1988-07","doi:10.5683/SP3/1LPITK","doi:10.5683/SP3/5VQ6JA","2001"
"1988-08","doi:10.5683/SP3/DHV1LT","doi:10.5683/SP3/COEEXB","2001"
"1988-09","doi:10.5683/SP3/PUVGNN","doi:10.5683/SP3/7DEJMD","2001"
"1988-10","doi:10.5683/SP3/FUW3OB","doi:10.5683/SP3/XZMV98","2001"
"1988-11","doi:10.5683/SP3/8MZYUW","doi:10.5683/SP3/ZNXLWY","2001"
"1988-12","doi:10.5683/SP3/I6VH9X","doi:10.5683/SP3/BK08A5","2001"
"1989-01","doi:10.5683/SP3/HAGDSG","doi:10.5683/SP3/F3M8FZ","2001"
"1989-02","doi:10.5683/SP3/EXZFOY","doi:10.5683/SP3/V8YGDG","2001"
"1989-03","doi:10.5683/SP3/OQHY60","doi:10.5683/SP3/HIDMBY","2001"
"1989-04","doi:10.5683/SP3/MLEQCD","doi:10.5683/SP3/9WNACO","2001"
"1989-05","doi:10.5683/SP3/WVYFXO","doi:10.5683/SP3/5ASRDQ","2001"
"1989-06","doi:10.5683/SP3/NKYNUY","doi:10.5683/SP3/ULOGPL","2001"
"1989-07","doi:10.5683/SP3/78VFHS","doi:10.5683/SP3/IJUGRN","2001"
"1989-08","doi:10.5683/SP3/6JNO73","doi:10.5683/SP3/I7YVV8","2001"
"1989-09","doi:10.5683/SP3/KGPZEN","doi:10.5683/SP3/HWJXRL","2001"
"1989-10","doi:10.5683/SP3/KMNW0M","doi:10.5683/SP3/USK0QX","2001"
"1989-11","doi:10.5683/SP3/S9P6SE","doi:10.5683/SP3/8L0QWQ","2001"
"1989-12","doi:10.5683/SP3/MT9GX4","doi:10.5683/SP3/N4F5WQ","2001"
"1990-01","doi:10.5683/SP3/4VP9E9","doi:10.5683/SP3/LQJAP8","2001"
"1990-02","doi:10.5683/SP3/SMU7S5",,"2001"
"1990-03","doi:10.5683/SP3/5SN49W","doi:10.5683/SP3/AWKNWD","2001"
"1990-04","doi:10.5683/SP3/JCKMTB","doi:10.5683/SP3/NTOO1W","2001"
"1990-05","doi:10.5683/SP3/PGCMVO","doi:10.5683/SP3/2FEVK3","2001"
"1990-06","doi:10.5683/SP3/ESXEXL","doi:10.5683/SP3/PHEQQT","2001"
"1990-07","doi:10.5683/SP3/FDJPOM","doi:10.5683/SP3/BLEAFQ","2001"
"1990-08","doi:10.5683/SP3/IRRXAC","doi:10.5683/SP3/M3ZNKJ","2001"
"1990-09","doi:10.5683/SP3/SQRVN9","doi:10.5683/SP3/4J0GRM","2001"
"1990-10","doi:10.5683/SP3/UOY86P","doi:10.5683/SP3/BGFMAC","2001"
"1990-11","doi:10.5683/SP3/XLHMOP","doi:10.5683/SP3/QBONIO","2001"
"1990-12","doi:10.5683/SP3/NWJIPN","doi:10.5683/SP3/3LIHNI","2001"
"1991-01","doi:10.5683/SP3/ABVPQD","doi:10.5683/SP3/6XP1GO","2001"
"1991-02","doi:10.5683/SP3/UUAL21","doi:10.5683/SP3/FDPJYH","2001"
"1991-03","doi:10.5683/SP3/VRPMQZ","doi:10.5683/SP3/VLCBVG","2001"
"1991-04","doi:10.5683/SP3/DSVTIG","doi:10.5683/SP3/MEDWCY","2001"
"1991-05","doi:10.5683/SP3/QTS1SZ","doi:10.5683/SP3/6Y0TPQ","2001"
"1991-06","doi:10.5683/SP3/1L5VAU","doi:10.5683/SP3/O5ADPH","2001"
